,condition,participant,choice_herf,reward_var
0,self_select,1,0.7275,23.951774464536026
1,self_select,2,0.66625,3.960744879438715
2,self_select,3,0.70125,29.24358904101889
3,self_select,4,0.0,31.61783515675923
4,self_select,5,0.0,40.703193977868615
5,self_select,6,0.71375,0.0
6,self_select,7,0.0,14.306903927824496
7,self_select,8,0.74125,0.0
8,self_select,9,0.74875,0.0
9,self_select,10,0.04875000000000007,18.186533479473212
10,self_select,11,0.7262500000000001,1.118033988749895
11,self_select,12,0.66375,1.920286436967152
12,self_select,13,0.69625,3.5355339059327378
13,self_select,14,0.75,2.165063509461097
14,self_select,15,0.6975,13.045593125649749
15,self_select,16,0.7275,0.0
16,self_select,17,0.65125,25.713566458194787
17,self_select,18,0.6912499999999999,12.43734296383275
18,self_select,19,0.74625,17.640507362318125
19,self_select,20,0.14249999999999996,15.562374497485916
20,self_select,21,0.61625,2.947456530637899
21,self_select,22,0.6825,20.932928605429293
22,self_select,23,0.675,0.82915619758885
23,self_select,24,0.6775,10.307764064044152
24,self_select,25,0.70875,15.237699957670777
25,self_select,26,0.7375,14.79019945774904
26,self_select,27,0.0,0.0
27,self_select,28,0.73875,3.031088913245535
28,self_select,29,0.7474999999999999,7.048936089935842
29,self_select,30,0.74125,4.763139720814412
30,self_select,31,0.75,10.0
31,self_select,32,0.5,15.31951369985353
32,self_select,33,0.0,17.320508075688775
33,self_select,34,0.60375,35.94005425705421
34,self_select,35,0.59125,26.901440481877547
35,self_select,36,0.6575,12.577261228105266
36,self_select,37,0.74625,0.0
37,self_select,38,0.0,18.186533479473212
38,self_select,39,0.30625000000000013,34.64101615137755
39,self_select,40,0.45499999999999996,11.146748404803978
40,self_select,41,0.73125,1.479019945774904
41,self_select,42,0.5599999999999999,16.77050983124842
42,self_select,43,0.70375,32.00781154655844
43,self_select,44,0.66375,22.083647796503186
44,self_select,45,0.7474999999999999,2.5
45,self_select,46,0.7474999999999999,4.301162633521313
46,self_select,47,0.75,0.5
47,self_select,48,0.75,0.0
48,self_select,49,0.6412499999999999,24.8746859276655
49,self_select,50,0.74875,0.4330127018922193
50,self_select,51,0.7375,2.9154759474226504
51,self_select,52,0.64625,11.800423721205947
52,self_select,53,0.52375,20.0
53,self_select,54,0.56125,13.77270852083932
54,self_select,55,0.5625,0.4330127018922193
55,self_select,56,0.54625,45.0
56,self_select,57,0.60375,2.598076211353316
57,self_select,58,0.0,17.320508075688775
58,self_select,59,0.74625,5.261891294962297
59,self_select,60,0.0,3.2691742076555053
60,self_select,61,0.74875,1.0897247358851685
61,self_select,62,0.74875,3.774917217635375
62,self_select,63,0.65875,8.642193008721803
63,self_select,64,0.74875,5.539629951540085
64,self_select,65,0.62875,20.559365262575593
65,self_select,66,0.4650000000000002,19.5
66,self_select,67,0.36749999999999994,17.853571071357123
